Mark,Athlete,Nation,Venue,Date,Sex,Event
2.04,Hestrie Cloete,RSA,Zürich,6-Aug-2004,female,high-jump
2.04,Kajsa Bergqvist,SWE,Lausanne (Pontaise),2-Jul-2002,female,high-jump
2.04,Stefka Kostadinova,BUL,Stara Zagora (Beroe Stadium),27-Jun-1992,female,high-jump
2.04,Blanka Vlašic,CRO,Zürich (Letzigrund),7-Sep-2007,female,high-jump
2.04,Blanka Vlašic,CRO,Berlin (Olympiastadion),20-Aug-2009,female,high-jump
2.04,Elena Slesarenko,RUS,Bydgoszcz (Zdzislaw Krzyszkowiak),20-Jun-2004,female,high-jump
2.04,Blanka Vlašic,CRO,Split,16-May-2009,female,high-jump
2.04,Anna Chicherova,RUS,Zagreb,9-Sep-2008,female,high-jump
2.05,Anna Chicherova,RUS,London (Olympic Stadium),11-Aug-2012,female,high-jump
2.05,Anna Chicherova,RUS,Bruxelles (Boudewijnstadion),16-Sep-2011,female,high-jump
2.05,Blanka Vlašic,CRO,Split (Poljud Stadion),5-Sep-2010,female,high-jump
2.05,Chaunté Lowe,USA,"Des Moines, IA",26-Jun-2010,female,high-jump
2.05,Blanka Vlašic,CRO,Beijing (National Stadium),23-Aug-2008,female,high-jump
2.05,Blanka Vlašic,CRO,Ostrava,12-Jun-2008,female,high-jump
2.05,Blanka Vlašic,CRO,Osaka (Nagai Stadium),2-Sep-2007,female,high-jump
2.05,Blanka Vlašic,CRO,Madrid,21-Jul-2007,female,high-jump
2.05,Hestrie Cloete,RSA,Berlin (Olympiastadion),10-Aug-2003,female,high-jump
2.05,Stefka Kostadinova,BUL,"Atlanta (Olympic Stadium), GA",3-Aug-1996,female,high-jump
2.05,Inha Babakova,UKR,Tokyo,15-Sep-1995,female,high-jump
2.05,Stefka Kostadinova,BUL,Fukuoka,18-Sep-1993,female,high-jump
2.05,Heike Henkel,GER,Tokyo (Olympic Stadium),31-Aug-1991,female,high-jump
2.05,Stefka Kostadinova,BUL,Budapest,12-Aug-1988,female,high-jump
2.05,Stefka Kostadinova,BUL,Oslo (Bislett),4-Jul-1987,female,high-jump
2.05,Stefka Kostadinova,BUL,Rieti,7-Sep-1986,female,high-jump
2.05,Stefka Kostadinova,BUL,Wörrstadt,14-Jun-1986,female,high-jump
2.05,Tamara Bykova,URS,Kyiv,22-Jun-1984,female,high-jump
2.05,Kajsa Bergqvist,SWE,London (Crystal Palace),28-Jul-2006,female,high-jump
2.05,Tia Hellebaut,BEL,Beijing (National Stadium),23-Aug-2008,female,high-jump
2.05,Blanka Vlašic,CRO,Doha,8-May-2009,female,high-jump
2.05,Blanka Vlašic,CRO,Bydgoszcz (Zdzislaw Krzyszkowiak),1-Jul-2008,female,high-jump
2.05,Stefka Kostadinova,BUL,San Marino,4-Jul-1992,female,high-jump
2.05,Kajsa Bergqvist,SWE,Poznan,18-Aug-2002,female,high-jump
2.05,Stefka Kostadinova,BUL,Padova,13-Sep-1987,female,high-jump
2.06,Ariane Friedrich,GER,Berlin (Olympiastadion),14-Jun-2009,female,high-jump
2.06,Blanka Vlašic,CRO,Madrid,5-Jul-2008,female,high-jump
2.06,Blanka Vlašic,CRO,Istanbul,22-Jun-2008,female,high-jump
2.06,Elena Slesarenko,RUS,Athína (Olympic Stadium),28-Aug-2004,female,high-jump
2.06,Hestrie Cloete,RSA,Paris Saint-Denis (Stade de France),31-Aug-2003,female,high-jump
2.06,Kajsa Bergqvist,SWE,Eberstadt,26-Jul-2003,female,high-jump
2.06,Stefka Kostadinova,BUL,Rieti,8-Sep-1987,female,high-jump
2.06,Stefka Kostadinova,BUL,Wörrstadt,6-Jun-1987,female,high-jump
2.06,Stefka Kostadinova,BUL,Cagliari,14-Sep-1986,female,high-jump
2.06,Stefka Kostadinova,BUL,Fürth,15-Jun-1986,female,high-jump
2.06,Stefka Kostadinova,BUL,Moskva,18-Aug-1985,female,high-jump
2.06,Blanka Vlašic,CRO,Thessaloníki,30-Jul-2007,female,high-jump
2.07,Stefka Kostadinova,BUL,Sofia,3-Sep-1988,female,high-jump
2.07,Stefka Kostadinova,BUL,Sofia,25-May-1986,female,high-jump
2.07,Lyudmila Andonova,BUL,Berlin,20-Jul-1984,female,high-jump
2.07,Stefka Kostadinova,BUL,Cagliari,16-Sep-1987,female,high-jump
2.07,Blanka Vlašic,CRO,Stockholm,7-Aug-2007,female,high-jump
2.07,Anna Chicherova,RUS,Cheboksary,22-Jul-2011,female,high-jump
2.08,Stefka Kostadinova,BUL,Sofia,31-May-1986,female,high-jump
2.08,Blanka Vlašic,CRO,Zagreb,31-Aug-2009,female,high-jump
2.09,Stefka Kostadinova,BUL,Roma (Stadio Olimpico),30-Aug-1987,female,high-jump
66.96,Trine Hattestad,NOR,Bærum (Nadderud),8-Jul-2000,female,javelin
66.99,Olisdeilys Menéndez,CUB,Huelva,8-Aug-2004,female,javelin
67.04,Christina Obergföll,GER,Leverkusen,10-Aug-2007,female,javelin
67.04,Christina Obergföll,GER,St. Wendel,10-Jun-2012,female,javelin
67.07,Barbora Špotáková,CZE,Osaka (Nagai Stadium),31-Aug-2007,female,javelin
67.09,Miréla Manjani,GRE,Sevilla (La Cartuja),28-Aug-1999,female,javelin
67.11,Maria Andrejczyk,POL,Rio de Janeiro (Estádio Olímpico),16-Aug-2016,female,javelin
67.12,Barbora Špotáková,CZE,Stuttgart (Gottlieb-Daimler Stadion),22-Sep-2007,female,javelin
67.14,Olisdeilys Menéndez,CUB,La Habana,10-Mar-2002,female,javelin
67.14,Barbora Špotáková,CZE,Berlin (Olympiastadion),11-Sep-2011,female,javelin
67.16,Martina Ratej,SLO,Doha (Hamad Bin Suhaim),14-May-2010,female,javelin
67.19,Barbora Špotáková,CZE,Lausanne (Pontaise),23-Aug-2012,female,javelin
67.2,Tatyana Shikolenko,RUS,Monaco (Stade Louis II),18-Aug-2000,female,javelin
67.24,Olisdeilys Menéndez,CUB,Monaco (Stade Louis II),9-Sep-2005,female,javelin
67.25,Maria Abakumova,RUS,Irkutsk,2-Aug-2008,female,javelin
67.29,Hanna Hatsko-Fedusova,UKR,Kirovohrad,26-Jul-2014,female,javelin
67.3,Steffi Nerius,GER,Berlin (Olympiastadion),18-Aug-2009,female,javelin
67.31,Christina Obergföll,GER,Zürich (Letzigrund),19-Aug-2010,female,javelin
67.32,Linda Stahl,GER,"New York City (Icahn), NY",14-Jun-2014,female,javelin
67.33,Barbora Špotáková,CZE,Doha (Hamad Bin Suhaim),14-May-2010,female,javelin
67.34,Olisdeilys Menéndez,CUB,Sydney (Olympic Stadium),29-Sep-2000,female,javelin
67.39,Maria Abakumova,RUS,Tallinn,25-Aug-2009,female,javelin
67.4,Olisdeilys Menéndez,CUB,Lausanne (Pontaise),2-Jul-2002,female,javelin
67.46,Sunette Viljoen,RSA,Zürich (Letzigrund),8-Sep-2011,female,javelin
67.47,Miréla Manjani,GRE,München,8-Aug-2002,female,javelin
67.48,Christina Obergföll,GER,Baunatal,5-Jun-2009,female,javelin
67.51,Miréla Manjani,GRE,Sydney (Olympic Stadium),30-Sep-2000,female,javelin
67.52,Sunette Viljoen,RSA,Berlin (Olympiastadion),2-Sep-2012,female,javelin
67.52,Christina Obergföll,GER,Beijing (National Stadium),19-Aug-2008,female,javelin
67.57,Barbora Špotáková,CZE,Paris Saint-Denis (Stade de France),8-Jul-2011,female,javelin
67.57,Christina Obergföll,GER,Berlin (Olympiastadion),22-Aug-2010,female,javelin
67.58,Barbora Špotáková,CZE,Praha (Stadion Rošický),28-Jun-2009,female,javelin
67.63,Barbora Špotáková,CZE,Budapest,19-Jun-2010,female,javelin
67.67,Sonia Bisset,CUB,Salamanca (Helmántico),6-Jul-2005,female,javelin
67.69,Kathrina Molitor,GER,Beijing (National Stadium),30-Aug-2015,female,javelin
67.69,Barbora Špotáková,CZE,Beijing (National Stadium),19-Aug-2008,female,javelin
67.7,Christina Obergföll,GER,"Eugene (Hayward Field), OR",31-May-2013,female,javelin
67.72,Christina Obergföll,GER,Ostrava,12-Jun-2008,female,javelin
67.76,Trine Hattestad,NOR,Bruxelles,25-Aug-2000,female,javelin
67.78,Christina Obergföll,GER,Athína (Olympic Stadium),2-Jul-2007,female,javelin
67.78,Barbora Špotáková,CZE,Ostrava (Mestský Stadion),25-May-2012,female,javelin
67.83,Olisdeilys Menéndez,CUB,Berlin (Olympiastadion),1-Sep-2000,female,javelin
67.87,Olisdeilys Menéndez,CUB,Madrid,17-Jul-2004,female,javelin
67.92,Trine Hattestad,NOR,Stockholm,1-Aug-2000,female,javelin
67.93,Christina Obergföll,GER,Biberach an der Riss,24-Jun-2009,female,javelin
67.95,Sunette Viljoen,RSA,Roma (Stadio Olimpico),31-May-2012,female,javelin
67.98,Maria Abakumova,RUS,Velenje,28-Jun-2011,female,javelin
67.99,Olisdeilys Menéndez,CUB,Iráklio,4-Jul-2004,female,javelin
67.99,Barbora Špotáková,CZE,Bruxelles (Boudewijnstadion),5-Sep-2014,female,javelin
68.01,Christina Obergföll,GER,Paris Saint-Denis (Stade de France),8-Jul-2011,female,javelin
68.08,Christina Obergföll,GER,Halle,19-May-2007,female,javelin
68.14,Maria Abakumova,RUS,Split (Poljud Stadion),4-Sep-2010,female,javelin
68.19,Trine Hattestad,NOR,Bergen,28-Jul-1999,female,javelin
68.22,Trine Hattestad,NOR,Roma (Stadio Olimpico),30-Jun-2000,female,javelin
68.23,Barbora Špotáková,CZE,Praha (Stadion Juliska),8-Jun-2009,female,javelin
68.23,Olisdeilys Menéndez,CUB,La Habana,5-Mar-2004,female,javelin
68.31,Maria Abakumova,RUS,Adler,25-Feb-2010,female,javelin
68.32,Trine Hattestad,NOR,Berlin (Olympiastadion),1-Sep-2000,female,javelin
68.34,Steffi Nerius,GER,Elstal,31-Aug-2008,female,javelin
68.38,Sunette Viljoen,RSA,Daegu (DS),2-Sep-2011,female,javelin
68.4,Olisdeilys Menéndez,CUB,Tartu,19-Jun-2001,female,javelin
68.4,Christina Obergföll,GER,Halle,23-May-2009,female,javelin
68.47,Olisdeilys Menéndez,CUB,Helsinki,25-Jul-2005,female,javelin
68.59,Maria Abakumova,RUS,Stockholm (Olympiastadion),22-Aug-2013,female,javelin
68.59,Christina Obergföll,GER,Leiria,20-Jun-2009,female,javelin
68.63,Christina Obergföll,GER,Elstal,12-Sep-2010,female,javelin
68.65,Barbora Špotáková,CZE,Roma (Stadio Olimpico),31-May-2012,female,javelin
68.66,Barbora Špotáková,CZE,Roma (Stadio Olimpico),10-Jun-2010,female,javelin
68.73,Barbora Špotáková,CZE,"New York City (Icahn), NY",9-Jun-2012,female,javelin
68.76,Christina Obergföll,GER,Daegu (DS),1-Sep-2011,female,javelin
68.81,Barbora Špotáková,CZE,Praha (Stadion Juliska),16-Jun-2008,female,javelin
68.86,Christina Obergföll,GER,Kassel,24-Jul-2011,female,javelin
68.89,Maria Abakumova,RUS,Doha (Hamad Bin Suhaim),14-May-2010,female,javelin
68.91,Trine Hattestad,NOR,Sydney (Olympic Stadium),30-Sep-2000,female,javelin
68.92,Maria Abakumova,RUS,Berlin (Olympiastadion),16-Aug-2009,female,javelin
68.94,Maria Abakumova,RUS,Zürich (Letzigrund),29-Aug-2013,female,javelin
69.05,Christina Obergföll,GER,Moskva (Luzhniki),18-Aug-2013,female,javelin
69.09,Maria Abakumova,RUS,Moskva (Luzhniki),16-Aug-2013,female,javelin
69.15,Barbora Špotáková,CZE,Zaragoza,31-May-2008,female,javelin
69.34,Maria Abakumova,RUS,Castellón,16-Mar-2013,female,javelin
69.35,Sunette Viljoen,RSA,"New York City (Icahn), NY",9-Jun-2012,female,javelin
69.45,Barbora Špotáková,CZE,Monaco (Stade Louis II),22-Jul-2011,female,javelin
69.48,Trine Hattestad,NOR,Oslo (Bislett),28-Jul-2000,female,javelin
69.53,Olisdeilys Menéndez,CUB,Edmonton (Commonwealth Stadium),6-Aug-2001,female,javelin
69.55,Barbora Špotáková,CZE,London (Olympic Stadium),9-Aug-2012,female,javelin
69.57,Christina Obergföll,GER,Zürich (Letzigrund),8-Sep-2011,female,javelin
69.75,Maria Abakumova,RUS,Elstal,25-Aug-2013,female,javelin
69.81,Christina Obergföll,GER,Elstal,31-Aug-2008,female,javelin
69.82,Olisdeilys Menéndez,CUB,Beijing,29-Aug-2001,female,javelin
70.03,Christina Obergföll,GER,Helsinki (Olympic Stadium),14-Aug-2005,female,javelin
70.2,Christina Obergföll,GER,München,23-Jun-2007,female,javelin
70.53,Maria Abakumova,RUS,Berlin (Olympiastadion),1-Sep-2013,female,javelin
70.78,Maria Abakumova,RUS,Beijing (National Stadium),21-Aug-2008,female,javelin
71.42,Barbora Špotáková,CZE,Beijing (National Stadium),21-Aug-2008,female,javelin
71.53,Olisdeilys Menéndez,CUB,Athína (Olympic Stadium),27-Aug-2004,female,javelin
71.54,Olisdeilys Menéndez,CUB,Réthimno,1-Jul-2001,female,javelin
71.58,Barbora Špotáková,CZE,Daegu (DS),2-Sep-2011,female,javelin
71.7,Olisdeilys Menéndez,CUB,Helsinki (Olympic Stadium),14-Aug-2005,female,javelin
71.99,Maria Abakumova,RUS,Daegu (DS),2-Sep-2011,female,javelin
72.28,Barbora Špotáková,CZE,Stuttgart (Gottlieb-Daimler Stadion),13-Sep-2008,female,javelin
7.07,Elena Sokolova,RUS,London (Olympic Stadium),8-Aug-2012,female,long-jump
7.08,Ivana Španovic,SRB,Rio de Janeiro (Estádio Olímpico),17-Aug-2016,female,long-jump
7.08,Nastassia Mironchyk-Ivanova,BLR,Minsk (Stayki),12-Jun-2012,female,long-jump
7.08,Marieta Ilcu,ROU,Pitesti,25-Jun-1989,female,long-jump
7.09,Ljudmila Ninova-Rudoll,AUT,Sevilla,5-Jun-1994,female,long-jump
7.09,Vilma Bardauskiene,URS,Praha (Stadion Rošický),29-Aug-1978,female,long-jump
7.1,Chelsea Hayes,USA,"Eugene, OR",1-Jul-2012,female,long-jump
7.11,Anna Nazarova-Klyashtornaya,RUS,Moskva,20-Jun-2012,female,long-jump
7.11,Fiona May,ITA,Budapest (Népstadion),22-Aug-1998,female,long-jump
7.12,Sabine John,GDR,Dresden,19-May-1984,female,long-jump
7.12,Naide Gomes,POR,Monaco (Stade Louis II),29-Jul-2008,female,long-jump
7.12,Chioma Ajunwa,NGR,"Atlanta (Olympic Stadium), GA",2-Aug-1996,female,long-jump
7.13,Olga Kucherenko,RUS,Sochi,27-May-2010,female,long-jump
7.14,Mirela Dulgheru-Renda,ROU,Sofia,5-Jul-1992,female,long-jump
7.14,Nijolé Medvedeva,URS,Riga,4-Jun-1988,female,long-jump
7.16,Sosthene Moguenara,GER,Weinheim,28-May-2016,female,long-jump
7.16,Elva Goulbourne,JAM,Ciudad de México,22-May-2004,female,long-jump
7.16,Iolanda Chen,URS,Moskva,30-Jul-1988,female,long-jump
7.17,Tianna Bartoletta,USA,Rio de Janeiro (Estádio Olímpico),17-Aug-2016,female,long-jump
7.17,Irina Valyukevich,URS,Bryansk,18-Jul-1987,female,long-jump
7.2,Irina Mushailova,RUS,Sankt-Peterburg,14-Jul-1994,female,long-jump
7.2,Yelena Sinchukova,URS,Budapest,20-Jun-1991,female,long-jump
7.2,Irena Ozenko,URS,Budapest,12-Sep-1986,female,long-jump
7.2,Vali Ionescu-Constantin,ROU,Bucuresti,1-Aug-1982,female,long-jump
7.21,Helga Radtke,GDR,Dresden,26-Jul-1984,female,long-jump
7.21,Anisoara Cusmir,ROU,Bucuresti,15-May-1983,female,long-jump
7.21,Lyudmila Kolchanova,RUS,Sochi,27-May-2007,female,long-jump
7.24,Larisa Berezhnaya,URS,Granada,25-May-1991,female,long-jump
7.25,Heike Drechsler,GDR,Oslo (Bislett),4-Jul-1987,female,long-jump
7.25,Heike Drechsler,GER,Sestriere,31-Jul-1994,female,long-jump
7.25,Heike Drechsler,GER,Bruxelles,13-Sep-1991,female,long-jump
7.25,Yelena Belevskaya,URS,Moskva (Lenin Stadium),7-Jun-1987,female,long-jump
7.25,Brittney Reese,USA,Doha (Hamad Bin Suhaim),10-May-2013,female,long-jump
7.26,Heike Drechsler,GDR,Praha,28-Jun-1987,female,long-jump
7.26,Maurren Higa Maggi,BRA,Bogotá,26-Jun-1999,female,long-jump
7.26,Jackie Joyner-Kersee,USA,Oslo (Bislett),22-Jul-1994,female,long-jump
7.26,Heike Drechsler,GER,Sevilla,6-Jun-1992,female,long-jump
7.27,Heike Drechsler,GDR,Canberra (Bruce Stadium),6-Oct-1985,female,long-jump
7.27,Heike Drechsler,GDR,Stuttgart,27-Aug-1986,female,long-jump
7.27,Jackie Joyner-Kersee,USA,Seoul (Olympic Stadium),24-Sep-1988,female,long-jump
7.27,Galina Chistyakova,URS,Moskva,27-Aug-1987,female,long-jump
7.27,Galina Chistyakova,URS,Moskva,7-Jul-1986,female,long-jump
7.27,Galina Chistyakova,URS,Erfurt,22-Jun-1985,female,long-jump
7.27,Irina Meleshina,RUS,Tula (Arsenal Stadium),31-Jul-2004,female,long-jump
7.27,Inessa Kravets,URS,Kyiv,22-May-1988,female,long-jump
7.27,Anisoara Stanciu,ROU,Sofia,17-Jun-1984,female,long-jump
7.28,Galina Chistyakova,URS,Moskva,18-Aug-1985,female,long-jump
7.29,Heike Drechsler,GDR,Neubrandenburg (Jahn Sportpark),7-Jun-1985,female,long-jump
7.29,Heike Drechsler,GDR,Jena,28-Jun-1986,female,long-jump
7.29,Yelena Khlopotnova,UKR,Alma Ata,18-Jun-1988,female,long-jump
7.29,Galina Chistyakova,URS,Moskva,6-Aug-1984,female,long-jump
7.29,Heike Drechsler,GER,Jena,13-May-1984,female,long-jump
7.29,Heike Drechsler,GER,Tokyo (Olympic Stadium),25-Aug-1991,female,long-jump
7.29,Heike Drechsler,GER,Oslo (Bislett),22-Jul-1994,female,long-jump
7.29,Galina Chistyakova,URS,Sochi,1-Jun-1988,female,long-jump
7.3,Heike Drechsler,GDR,Split (Poljud Stadion),28-Aug-1990,female,long-jump
7.3,Jackie Joyner-Kersee,USA,"San José, CA",28-May-1994,female,long-jump
7.3,Heike Drechsler,GER,Dillingen,17-May-1992,female,long-jump
7.31,Heike Drechsler,GDR,Jena,31-May-1986,female,long-jump
7.31,Brittney Reese,USA,"Eugene (Hayward Field), OR",2-Jul-2016,female,long-jump
7.31,Yelena Khlopotnova,URS,Alma Ata,12-Sep-1985,female,long-jump
7.31,Marion Jones,USA,"Eugene, OR",31-May-1998,female,long-jump
7.31,Yelena Belevskaya,URS,Moskva,16-Aug-1987,female,long-jump
7.31,Yelena Belevskaya,URS,Kyiv,15-Jul-1986,female,long-jump
7.31,Marion Jones,USA,Zürich,12-Aug-1998,female,long-jump
7.32,Heike Drechsler,GDR,Berlin,20-Jul-1984,female,long-jump
7.32,Heike Drechsler,GER,Padova,15-Sep-1991,female,long-jump
7.32,Jackie Joyner-Kersee,USA,Tokyo (Olympic Stadium),25-Aug-1991,female,long-jump
7.33,Heike Drechsler,GDR,Erfurt,22-Jun-1985,female,long-jump
7.33,Heike Drechsler,GDR,Dresden,2-Aug-1985,female,long-jump
7.33,Tatyana Lebedeva,RUS,Tula (Arsenal Stadium),31-Jul-2004,female,long-jump
7.33,Heike Drechsler,GER,Monaco (Stade Louis II),11-Aug-1992,female,long-jump
7.34,Heike Drechsler,GDR,Dresden,19-May-1984,female,long-jump
7.34,Heike Drechsler,GDR,Karl-Marx-Stadt,20-Jun-1987,female,long-jump
7.34,Yelena Belevskaya,URS,Sukhumi,17-May-1987,female,long-jump
7.34,Galina Chistyakova,URS,Tallinn,21-Jun-1986,female,long-jump
7.35,Galina Chistyakova,URS,Bratislava,20-Jun-1990,female,long-jump
7.36,Jackie Joyner-Kersee,USA,Roma (Stadio Olimpico),4-Sep-1987,female,long-jump
7.36,Heike Drechsler,GER,Jena,28-May-1992,female,long-jump
7.36,Yelena Belevskaya,URS,Leningrad,11-Jun-1988,female,long-jump
7.37,Inessa Kravets,EUN,Kyiv,13-Jun-1992,female,long-jump
7.37,Heike Drechsler,GER,Sestriere,31-Jul-1991,female,long-jump
7.39,Heike Drechsler,GDR,Zürich (Letzigrund),21-Aug-1985,female,long-jump
7.39,Yelena Belevskaya,URS,Bryansk,18-Jul-1987,female,long-jump
7.39,Jackie Joyner-Kersee,USA,"San Diego, CA",25-Jun-1988,female,long-jump
7.4,Heike Drechsler,GDR,Dresden,26-Jul-1984,female,long-jump
7.4,Heike Drechsler,GDR,Potsdam,21-Aug-1987,female,long-jump
7.4,Jackie Joyner-Kersee,USA,Seoul (Olympic Stadium),29-Sep-1988,female,long-jump
7.42,Tatyana Kotova,RUS,Annecy,23-Jun-2002,female,long-jump
7.43,Anisoara Stanciu,ROU,Bucuresti,4-Jun-1983,female,long-jump
7.44,Heike Drechsler,GDR,Berlin,22-Sep-1985,female,long-jump
7.45,Heike Drechsler,GDR,Tallinn,21-Jun-1986,female,long-jump
7.45,Heike Drechsler,GDR,Dresden,3-Jul-1986,female,long-jump
7.45,Galina Chistyakova,URS,Budapest,12-Aug-1988,female,long-jump
7.45,Jackie Joyner-Kersee,USA,"Indianapolis, IN",13-Aug-1987,female,long-jump
7.48,Heike Drechsler,GDR,Neubrandenburg (Jahn Sportpark),9-Jul-1988,female,long-jump
7.48,Heike Drechsler,GER,Lausanne,8-Jul-1992,female,long-jump
7.49,Jackie Joyner-Kersee,USA,Sestriere,31-Jul-1994,female,long-jump
7.49,Jackie Joyner-Kersee,USA,"New York, NY",22-May-1994,female,long-jump
7.52,Galina Chistyakova,URS,Leningrad (Kirov Stadium),11-Jun-1988,female,long-jump
2:15:25,Paula Radcliffe,GBR,London,13-Apr-2003,female,marathon
2:17:18,Paula Radcliffe,GBR,"Chicago, IL",13-Oct-2002,female,marathon
2:17:42,Paula Radcliffe,GBR,London,17-Apr-2005,female,marathon
2:18:37,Mary Jepkosgei Keitany,KEN,London,22-Apr-2012,female,marathon
2:18:47,Catherine Ndereba,KEN,"Chicago, IL",7-Oct-2001,female,marathon
2:18:56,Paula Radcliffe,GBR,London,14-Apr-2002,female,marathon
2:18:58,Tiki Gelana,ETH,Rotterdam,15-Apr-2012,female,marathon
2:19:12,Mizuki Noguchi,JPN,Berlin,25-Sep-2005,female,marathon
2:19:19,Irina Mikitenko,GER,Berlin,28-Sep-2008,female,marathon
2:19:19,Mary Jepkosgei Keitany,KEN,London,17-Apr-2011,female,marathon
2:19:25,Gladys Cherono Kiprono,KEN,Berlin,27-Sep-2015,female,marathon
2:19:26,Catherine Ndereba,KEN,"Chicago, IL",13-Oct-2002,female,marathon
2:19:31,Aselefech Mergia,ETH,Dubai,27-Jan-2012,female,marathon
2:19:34,Lucy Wangui Kabuu,KEN,Dubai,27-Jan-2012,female,marathon
2:19:36,Deena Kastor,USA,London,23-Apr-2006,female,marathon
2:19:39,Yingjie Sun,CHN,Beijing,19-Oct-2003,female,marathon
2:19:41,Tirfi Tsegaye,ETH,Dubai,22-Jan-2016,female,marathon
2:19:41,Yoko Shibui,JPN,Berlin,26-Sep-2004,female,marathon
2:19:44,Florence Jebet Kiplagat,KEN,Berlin,25-Sep-2011,female,marathon
2:19:46,Naoko Takahashi,JPN,Berlin,30-Sep-2001,female,marathon
2:19:50,Edna Ngeringwony Kiplagat,KEN,London,22-Apr-2012,female,marathon
2:19:51,Chunxiu Zhou,CHN,Seoul,12-Mar-2006,female,marathon
2:19:52,Mare Dibaba,ETH,Xiamen,3-Jan-2015,female,marathon
2:19:52,Mare Dibaba,ETH,Dubai,27-Jan-2012,female,marathon
2:19:55,Catherine Ndereba,KEN,London,13-Apr-2003,female,marathon
2:19:57,Rita Jeptoo Sitienei,KEN,"Chicago, IL",13-Oct-2013,female,marathon
2:20:02,Aselefech Mergia,ETH,Dubai,23-Jan-2015,female,marathon
2:20:03,Gladys Cherono Kiprono,KEN,Dubai,23-Jan-2015,female,marathon
2:20:14,Priscah Jeptoo,KEN,London,22-Apr-2012,female,marathon
2:20:15,Priscah Jeptoo,KEN,London,21-Apr-2013,female,marathon
2:20:18,Tirfi Tsegaye,ETH,Berlin,28-Sep-2014,female,marathon
2:20:21,Lucy Wangui Kabuu,KEN,Dubai,23-Jan-2015,female,marathon
2:20:21,Edna Ngeringwony Kiplagat,KEN,London,13-Apr-2014,female,marathon
2:20:24,Florence Jebet Kiplagat,KEN,London,13-Apr-2014,female,marathon
2:20:27,Feyse Tadese,ETH,Berlin,28-Sep-2014,female,marathon
2:20:30,Bezunesh Bekele,ETH,Dubai,27-Jan-2012,female,marathon
2:20:30,Aberu Kebede,ETH,Berlin,30-Sep-2012,female,marathon
2:20:33,Aberu Kebede,ETH,Dubai,27-Jan-2012,female,marathon
2:20:35,Tirunesh Dibaba,ETH,London,13-Apr-2014,female,marathon
2:20:38,Chunxiu Zhou,CHN,London,22-Apr-2007,female,marathon
2:20:42,Berhane Adere,ETH,"Chicago, IL",22-Oct-2006,female,marathon
2:20:43,Margaret Okayo,KEN,"Boston, MA",15-Apr-2002,female,marathon
2:20:43,Tegla Loroupe,KEN,Berlin,26-Sep-1999,female,marathon
2:20:46,Edna Ngeringwony Kiplagat,KEN,London,17-Apr-2011,female,marathon
2:20:47,Tegla Loroupe,KEN,Rotterdam,19-Apr-1998,female,marathon
2:20:47,Galina Bogomolova,RUS,"Chicago, IL",22-Oct-2006,female,marathon
2:20:48,Jemima Jelagat Sumgong,KEN,"Chicago, IL",13-Oct-2013,female,marathon
2:20:48,Aberu Kebede,ETH,Berlin,27-Sep-2015,female,marathon
2:20:48,Amane Beriso,ETH,Dubai,22-Jan-2016,female,marathon
2:20:57,Florence Jebet Kiplagat,KEN,London,22-Apr-2012,female,marathon
2:20:57,Paula Radcliffe,GBR,Helsinki (Olympic Stadium),14-Aug-2005,female,marathon
2:20:59,Shure Demise,ETH,Dubai,23-Jan-2015,female,marathon
2:21:01,Yingjie Sun,CHN,Beijing,16-Oct-2005,female,marathon
2:21:01,Meselech Melkamu,ETH,Frankfurt,28-Oct-2012,female,marathon
2:21:06,Feyse Tadese,ETH,Paris,7-Apr-2013,female,marathon
2:21:06,Ingrid Kristiansen,NOR,London,21-Apr-1985,female,marathon
2:21:09,Meseret Hailu,ETH,Amsterdam,21-Oct-2012,female,marathon
2:21:11,Chunxiu Zhou,CHN,Beijing,16-Oct-2005,female,marathon
2:21:12,Catherine Ndereba,KEN,"Boston, MA",15-Apr-2002,female,marathon
2:21:13,Florence Jebet Kiplagat,KEN,Berlin,29-Sep-2013,female,marathon
2:21:14,Shalane Flanagan,USA,Berlin,28-Sep-2014,female,marathon
2:21:16,Deena Kastor,USA,London,13-Apr-2003,female,marathon
2:21:17,Aberu Kebede,ETH,Dubai,23-Jan-2015,female,marathon
2:21:18,Mizuki Noguchi,JPN,Osaka,26-Jan-2003,female,marathon
2:21:19,Tirfi Tsegaye,ETH,Berlin,30-Sep-2012,female,marathon
2:21:21,Yingjie Sun,CHN,Beijing,20-Oct-2002,female,marathon
2:21:21,Joan Samuelson,USA,"Chicago, IL",20-Oct-1985,female,marathon
2:21:22,Yoko Shibui,JPN,"Chicago, IL",13-Oct-2002,female,marathon
2:21:25,Deena Kastor,USA,"Chicago, IL",9-Oct-2005,female,marathon
2:21:27,Helah Jelagat Kiprop,KEN,Tokyo,28-Feb-2016,female,marathon
2:21:29,Lyudmila Petrova,RUS,London,23-Apr-2006,female,marathon
2:21:30,Lydia Cheromei,KEN,Dubai,27-Jan-2012,female,marathon
2:21:30,Constantina Dita,ROU,"Chicago, IL",9-Oct-2005,female,marathon
2:21:31,Askale Tafa,ETH,Berlin,28-Sep-2008,female,marathon
2:21:31,Svetlana Zakharova,RUS,"Chicago, IL",13-Oct-2002,female,marathon
2:21:32,Edna Ngeringwony Kiplagat,KEN,London,21-Apr-2013,female,marathon
