,EnteroCount,FourDayRainTotal
683,1986.0,1.3
684,12.0,0.8
685,9.0,0.5
686,4.0,0.3
687,2.0,0.4
688,9.0,1.5
689,12.0,0.1
690,4.0,0.8
691,2.0,0.2
692,21.0,0.0
693,67.0,1.2
694,2.0,0.5
695,8.0,0.1
696,13.0,0.0
697,17.0,0.0
698,38.0,0.1
699,4.0,0.0
700,89.0,1.3
701,2.0,0.0
702,24.0,0.0
703,,0.6
704,5.0,0.4
705,1.0,0.7
706,93.0,0.6
707,4.0,0.0
708,2.0,0.6
709,9.0,0.0
710,60.0,0.1
711,36.0,0.1
712,10.0,1.1
713,21.0,0.0
714,59.0,0.5
715,1414.0,1.8
716,411.0,1.5
717,38.0,0.0
718,,3.0
719,12.0,0.0
720,,0.2
721,23.0,0.0
722,23.0,0.0
723,5.0,0.0
724,34.0,0.0
725,,0.6
726,1986.0,1.4
727,9.0,1.1
728,11.0,0.1
729,2.0,0.0
730,3.0,0.4
731,19.0,0.5
732,5.0,0.8
733,26.0,0.2
734,5.0,0.0
735,31.0,0.8
736,20.0,0.0
737,20.0,0.0
738,16.0,0.1
739,4.0,0.0
740,11.0,1.3
741,3.0,0.5
742,24.0,0.0
743,,2.5
744,2.0,0.0
745,3.0,0.4
746,2.0,0.7
747,59.0,0.6
748,6.0,0.0
749,2.0,0.5
750,21.0,0.0
751,31.0,0.1
752,40.0,0.1
753,,1.1
754,1.0,0.0
755,5.0,0.5
756,1046.0,1.8
757,126.0,1.5
758,56.0,1.2
759,44.0,0.0
760,,3.0
761,326.0,0.0
762,6.0,0.0
763,11.0,0.0
764,5.0,0.0
765,9.0,0.0
766,82.0,0.0
767,,0.6
768,1986.0,1.4
769,12.0,1.1
770,10.0,0.1
771,7.0,0.0
772,2.0,0.3
773,10.0,0.5
774,3.0,0.6
775,19.0,0.2
776,2.0,0.2
777,9.0,0.1
778,344.0,0.1
779,3.0,0.2
780,3.0,0.2
781,1.0,0.6
782,,0.8
783,4.0,0.3
784,2.0,0.0
785,3.0,0.1
786,1.0,1.1
787,,0.3
788,248.0,0.6
789,18.0,0.0
790,7.0,0.0
791,3.0,0.0
792,5.0,0.0
793,1.0,0.0
794,6.0,0.0
795,24.0,3.0
796,31.0,0.0
797,17.0,1.5
798,161.0,1.8
799,4.0,0.5
800,,0.0
801,,1.1
802,32.0,0.1
803,4.0,0.0
804,25.0,1.3
805,1.0,0.5
806,9.0,0.6
807,11.0,0.4
808,1.0,0.1
809,2.0,0.0
810,5.0,0.0
811,10.0,0.1
812,16.0,0.0
813,2.0,0.0
814,3.0,0.0
815,84.0,1.5
816,2.0,0.2
817,5.0,0.0
818,2.0,0.5
819,13.0,0.6
820,12.0,0.0
821,22.0,0.0
822,326.0,1.8
823,,0.0
824,10.0,0.0
825,14.0,0.0
826,28.0,0.6
827,8.0,0.5
828,3.0,1.1
829,1.0,0.1
830,42.0,0.0
831,3.0,0.0
832,3.0,0.3
833,6.0,0.8
834,,0.0
835,4.0,1.1
836,27.0,0.1
837,1.0,0.1
838,29.0,0.0
839,190.0,0.1
840,3.0,0.0
841,,0.6
842,9.0,0.4
843,1.0,0.2
844,22.0,0.0
845,,0.0
846,26.0,0.1
847,2420.0,0.3
848,74.0,1.3
849,14.0,0.0
850,,0.0
851,64.0,0.1
852,4.0,0.0
853,20.0,0.1
854,21.0,0.3
855,8.0,0.0
856,1.0,0.0
857,11.0,0.0
858,2.0,0.6
859,15.0,0.0
860,38.0,0.0
861,23.0,0.0
862,2.0,0.0
863,35.0,1.5
864,166.0,1.8
865,4.0,1.1
866,70.0,0.5
867,1.0,0.2
868,4.0,0.2
869,13.0,0.0
870,31.0,0.2
871,18.0,0.8
872,3.0,0.0
873,4.0,0.0
874,2.0,0.2
875,3.0,0.4
876,219.0,1.9
877,13.0,0.7
878,7.0,0.6
879,2.0,0.1
880,20.0,0.5
881,3.0,0.0
882,219.0,0.1
883,8.0,0.1
884,3.0,0.5
885,,0.0
886,4.0,0.0
887,147.0,0.6
888,64.0,0.5
889,4.0,1.1
890,9.0,0.0
891,2.0,0.0
892,3.0,0.0
893,23.0,0.0
894,99.0,0.0
895,12.0,0.0
896,1203.0,0.0
897,1986.0,0.6
898,4.0,1.1
899,121.0,1.5
900,152.0,0.1
901,225.0,0.0
902,17.0,0.7
903,70.0,0.5
904,44.0,0.3
905,40.0,0.6
906,42.0,0.2
907,108.0,0.2
908,34.0,0.3
909,43.0,0.0
910,33.0,0.0
911,99.0,0.0
912,,0.0
913,49.0,0.0
914,35.0,1.5
915,1733.0,1.8
916,86.0,0.5
917,10.0,0.0
918,35.0,1.1
919,435.0,0.1
920,133.0,0.1
921,365.0,0.0
922,64.0,0.5
923,2420.0,0.6
924,55.0,0.4
925,1986.0,0.0
926,53.0,0.0
927,,0.0
928,2.0,0.1
929,50.0,0.0
930,16.0,0.0
931,95.0,0.1
932,31.0,0.0
933,,0.5
934,29.0,0.0
935,10.0,0.4
936,11.0,0.2
937,50.0,0.2
938,6.0,0.6
939,435.0,0.3
940,13.0,0.0
941,19.0,0.0
942,326.0,0.0
943,6.0,0.1
944,88.0,0.3
945,84.0,0.0
946,33.0,0.0
947,16.0,0.0
948,272.0,1.1
949,378.0,0.6
950,15.0,0.5
951,57.0,0.0
952,190.0,0.1
953,1553.0,0.5
954,42.0,0.7
955,7.0,0.0
956,40.0,0.1
957,222.0,1.5
958,25.0,0.1
959,117.0,1.1
960,,0.5
961,184.0,0.5
962,2420.0,1.8
963,184.0,1.5
964,133.0,0.0
965,50.0,0.0
966,288.0,0.0
967,31.0,0.0
968,20.0,0.0
969,13.0,0.0
970,17.0,0.0
971,,0.6
972,5.0,0.0
973,,0.5
974,,0.6
975,579.0,1.9
976,39.0,0.0
977,10.0,0.0
978,82.0,1.1
979,19.0,0.1
980,285.0,1.1
981,1986.0,1.5
982,24.0,0.0
983,31.0,0.1
984,9.0,0.0
985,43.0,0.0
986,19.0,0.7
987,20.0,0.0
988,59.0,0.0
989,119.0,1.5
990,19.0,0.5
991,5.0,0.3
992,50.0,0.3
993,8.0,0.6
994,21.0,0.0
995,70.0,0.2
996,3.0,0.0
997,58.0,0.1
998,1.0,0.0
999,22.0,0.0
1000,52.0,0.0
1001,56.0,0.5
1002,31.0,0.0
1003,11.0,0.0
1004,4.0,0.1
1005,32.0,0.6
1006,12.0,0.4
1007,1.0,0.2
1008,,1.8
1009,345.0,0.5
1010,5.0,0.1
1011,32.0,0.0
1012,41.0,0.0
1013,5.0,0.0
1014,359.0,0.8
1015,11.0,0.2
1016,76.0,0.2
1017,20.0,0.0
1018,27.0,0.6
1019,,0.9
1020,199.0,2.1
1021,4.0,0.0
1022,20.0,0.5
1023,3.0,0.0
1024,4.0,0.0
1025,1.0,0.1
1026,2.0,0.0
1027,7.0,0.0
1028,4.0,0.4
1029,,0.7
1030,1.0,0.2
1031,17.0,0.5
1032,3.0,1.0
1033,20.0,1.5
1034,2.0,0.1
1035,5.0,0.0
1036,2.0,0.7
1037,,0.6
1038,12.0,0.3
1039,31.0,0.1
1040,3.0,0.3
1041,5.0,0.2
1042,,0.0
1043,1733.0,0.5
1044,7.0,0.0
1045,1.0,0.0
1046,,0.0
1047,1.0,0.0
1048,,0.0
1049,,0.0
1050,3.0,0.0
1051,20.0,1.5
1052,8.0,0.0
1053,19.0,0.0
1054,128.0,0.1
1055,3.0,0.6
1056,35.0,0.2
1057,11.0,0.1
1058,132.0,0.1
1059,28.0,0.3
1060,23.0,0.5
1061,33.0,0.6
1062,13.0,0.4
1063,11.0,0.0
1064,69.0,0.0
1065,7.0,0.1
1066,119.0,1.0
1067,1.0,0.0
1068,25.0,0.3
1069,3.0,0.7
1070,6.0,0.0
1071,6.0,0.1
1072,51.0,0.1
1073,9.0,0.0
1074,26.0,0.9
1075,29.0,0.0
1076,5.0,0.0
1077,36.0,0.5
1078,,2.1
1079,17.0,0.0
1080,122.0,0.5
1081,921.0,0.6
1082,3.0,0.0
1083,2.0,0.0
1084,9.0,0.0
1085,32.0,0.0
1086,14.0,0.0
1087,20.0,0.0
1088,345.0,1.5
1089,47.0,0.0
1090,4.0,0.0
1091,18.0,0.0
1092,2.0,0.0
1093,12.0,0.2
1094,17.0,0.1
1095,106.0,0.1
1096,2.0,0.3
1097,2.0,0.5
1098,4.0,0.6
1099,,0.4
1100,11.0,0.0
1101,2.0,0.0
1102,8.0,0.0
1103,6.0,0.5
1104,3.0,0.0
1105,1.0,0.0
1106,1.0,0.0
1107,3.0,0.1
1108,1.0,0.1
1109,1.0,1.0
1110,1.0,0.6
1111,1.0,0.3
1112,,0.7
1113,119.0,2.1
1114,3.0,0.1
1115,1.0,0.9
1116,1203.0,0.5
1117,10.0,0.6
1118,2.0,0.0
1119,,0.0
1120,1.0,0.0
1121,2.0,0.0
1122,1.0,0.0
1123,3.0,0.0
1124,5.0,0.0
1125,4.0,0.0
1126,17.0,1.5
1127,1.0,0.6
1128,6.0,0.0
1129,,0.0
1130,8.0,0.0
1131,3.0,0.1
1132,11.0,0.0
1133,6.0,0.0
1134,3.0,0.0
1135,5.0,0.4
1136,4.0,0.2
1137,13.0,0.5
1138,1.0,0.3
1139,5.0,0.0
1140,2.0,0.3
1141,,0.0
1142,4.0,0.1
1143,4.0,1.5
1144,,0.9
1145,16.0,0.5
1146,23.0,1.7
1147,16.0,0.6
1148,6.0,0.0
1149,2.0,0.0
1150,,0.0
1151,6.0,1.0
1152,,0.0
1153,3.0,0.0
1154,76.0,0.1
1155,24.0,0.1
1156,11.0,0.2
1157,1.0,0.0
1158,12.0,0.5
1159,21.0,2.1
1160,7.0,1.5
1161,3.0,0.0
1162,1.0,0.1
1163,5.0,0.0
1164,3.0,0.0
1165,18.0,0.0
1166,4.0,0.0
1167,11.0,0.9
1168,29.0,0.5
1169,11.0,0.0
1170,21.0,0.0
1171,19.0,0.6
1172,11.0,0.0
1173,5.0,0.0
1174,4.0,0.0
1175,12.0,0.0
1176,4.0,0.0
1177,78.0,1.5
1178,54.0,2.1
1179,10.0,0.5
1180,3.0,0.0
1181,19.0,0.2
1182,32.0,0.1
1183,68.0,1.7
1184,62.0,0.1
1185,3.0,0.3
1186,32.0,0.5
1187,13.0,0.2
1188,5.0,0.4
1189,7.0,0.0
1190,15.0,0.0
1191,11.0,0.0
1192,34.0,0.0
1193,5.0,0.1
1194,3.0,0.1
1195,4.0,1.0
1196,9.0,0.6
1197,3.0,0.3
1198,4.0,0.0
1199,3.0,0.0
1200,22.0,0.1
1201,6.0,0.0
